`torch_dtype` is deprecated! Use `dtype` instead!
[2026-06-12 17:41:08] Failed loading glm4 with flash_attention_2: FlashAttention2 has been toggled on, but it cannot be used due to the following error: the package for FlashAttention2 doesn't seem to be installed.
Loading weights:   0%|          | 0/443 [00:00<?, ?it/s]Loading weights:   0%|          | 2/443 [00:00<00:48,  9.14it/s]Loading weights:   4%|▍         | 19/443 [00:00<00:06, 68.46it/s]Loading weights:  14%|█▎        | 60/443 [00:00<00:02, 179.63it/s]Loading weights:  21%|██        | 93/443 [00:00<00:01, 217.68it/s]Loading weights:  28%|██▊       | 125/443 [00:00<00:01, 245.99it/s]Loading weights:  36%|███▌      | 159/443 [00:00<00:01, 267.00it/s]Loading weights:  43%|████▎     | 192/443 [00:00<00:00, 281.21it/s]Loading weights:  51%|█████     | 225/443 [00:00<00:00, 289.82it/s]Loading weights:  58%|█████▊    | 255/443 [00:01<00:00, 286.03it/s]Loading weights:  65%|██████▌   | 290/443 [00:01<00:00, 300.85it/s]Loading weights:  73%|███████▎  | 323/443 [00:01<00:00, 304.81it/s]Loading weights:  80%|████████  | 356/443 [00:01<00:00, 309.46it/s]Loading weights:  88%|████████▊ | 390/443 [00:01<00:00, 315.32it/s]Loading weights:  95%|█████████▌| 423/443 [00:01<00:00, 316.79it/s]Loading weights: 100%|██████████| 443/443 [00:01<00:00, 267.82it/s]
[2026-06-12 17:41:09] Loaded glm4 with attn_impl=sdpa
[2026-06-12 17:41:09] Phase98 model=glm4 items=105 layers=[39] positions=['prompt_tail', 'last4'] donors=['same_slot_diff_target']
[2026-06-12 17:59:33] model=glm4 layer=L39 head=6/31 pos=last4 item=70/105 rows=2870 elapsed=1104s
[2026-06-12 17:59:48] model=glm4 layer=L39 head=6/31 pos=last4 item=105/105 rows=2940 elapsed=1119s
[2026-06-12 18:00:03] model=glm4 layer=L39 head=7/31 pos=prompt_tail item=35/105 rows=3010 elapsed=1134s
[2026-06-12 18:00:19] model=glm4 layer=L39 head=7/31 pos=prompt_tail item=70/105 rows=3080 elapsed=1149s
[2026-06-12 18:00:34] model=glm4 layer=L39 head=7/31 pos=prompt_tail item=105/105 rows=3150 elapsed=1164s
[2026-06-12 18:00:49] model=glm4 layer=L39 head=7/31 pos=last4 item=35/105 rows=3220 elapsed=1180s
[2026-06-12 18:01:04] model=glm4 layer=L39 head=7/31 pos=last4 item=70/105 rows=3290 elapsed=1195s
[2026-06-12 18:01:19] model=glm4 layer=L39 head=7/31 pos=last4 item=105/105 rows=3360 elapsed=1210s
[2026-06-12 18:01:35] model=glm4 layer=L39 head=8/31 pos=prompt_tail item=35/105 rows=3430 elapsed=1225s
[2026-06-12 18:01:50] model=glm4 layer=L39 head=8/31 pos=prompt_tail item=70/105 rows=3500 elapsed=1240s
[2026-06-12 18:02:05] model=glm4 layer=L39 head=8/31 pos=prompt_tail item=105/105 rows=3570 elapsed=1256s
[2026-06-12 18:02:20] model=glm4 layer=L39 head=8/31 pos=last4 item=35/105 rows=3640 elapsed=1271s
[2026-06-12 18:02:35] model=glm4 layer=L39 head=8/31 pos=last4 item=70/105 rows=3710 elapsed=1286s
[2026-06-12 18:02:51] model=glm4 layer=L39 head=8/31 pos=last4 item=105/105 rows=3780 elapsed=1301s
[2026-06-12 18:03:06] model=glm4 layer=L39 head=9/31 pos=prompt_tail item=35/105 rows=3850 elapsed=1316s
[2026-06-12 18:03:21] model=glm4 layer=L39 head=9/31 pos=prompt_tail item=70/105 rows=3920 elapsed=1332s
[2026-06-12 18:03:36] model=glm4 layer=L39 head=9/31 pos=prompt_tail item=105/105 rows=3990 elapsed=1347s
[2026-06-12 18:03:51] model=glm4 layer=L39 head=9/31 pos=last4 item=35/105 rows=4060 elapsed=1362s
[2026-06-12 18:04:07] model=glm4 layer=L39 head=9/31 pos=last4 item=70/105 rows=4130 elapsed=1377s
[2026-06-12 18:04:22] model=glm4 layer=L39 head=9/31 pos=last4 item=105/105 rows=4200 elapsed=1392s
[2026-06-12 18:04:37] model=glm4 layer=L39 head=10/31 pos=prompt_tail item=35/105 rows=4270 elapsed=1408s
[2026-06-12 18:04:52] model=glm4 layer=L39 head=10/31 pos=prompt_tail item=70/105 rows=4340 elapsed=1423s
[2026-06-12 18:05:07] model=glm4 layer=L39 head=10/31 pos=prompt_tail item=105/105 rows=4410 elapsed=1438s
[2026-06-12 18:05:23] model=glm4 layer=L39 head=10/31 pos=last4 item=35/105 rows=4480 elapsed=1453s
[2026-06-12 18:05:38] model=glm4 layer=L39 head=10/31 pos=last4 item=70/105 rows=4550 elapsed=1469s
[2026-06-12 18:05:53] model=glm4 layer=L39 head=10/31 pos=last4 item=105/105 rows=4620 elapsed=1484s
[2026-06-12 18:06:08] model=glm4 layer=L39 head=11/31 pos=prompt_tail item=35/105 rows=4690 elapsed=1499s
[2026-06-12 18:06:24] model=glm4 layer=L39 head=11/31 pos=prompt_tail item=70/105 rows=4760 elapsed=1514s
[2026-06-12 18:06:39] model=glm4 layer=L39 head=11/31 pos=prompt_tail item=105/105 rows=4830 elapsed=1529s
[2026-06-12 18:06:54] model=glm4 layer=L39 head=11/31 pos=last4 item=35/105 rows=4900 elapsed=1545s
[2026-06-12 18:07:09] model=glm4 layer=L39 head=11/31 pos=last4 item=70/105 rows=4970 elapsed=1560s
[2026-06-12 18:07:25] model=glm4 layer=L39 head=11/31 pos=last4 item=105/105 rows=5040 elapsed=1575s
[2026-06-12 18:07:40] model=glm4 layer=L39 head=12/31 pos=prompt_tail item=35/105 rows=5110 elapsed=1590s
[2026-06-12 18:07:55] model=glm4 layer=L39 head=12/31 pos=prompt_tail item=70/105 rows=5180 elapsed=1606s
[2026-06-12 18:08:10] model=glm4 layer=L39 head=12/31 pos=prompt_tail item=105/105 rows=5250 elapsed=1621s
[2026-06-12 18:08:25] model=glm4 layer=L39 head=12/31 pos=last4 item=35/105 rows=5320 elapsed=1636s
[2026-06-12 18:08:41] model=glm4 layer=L39 head=12/31 pos=last4 item=70/105 rows=5390 elapsed=1651s
[2026-06-12 18:08:56] model=glm4 layer=L39 head=12/31 pos=last4 item=105/105 rows=5460 elapsed=1666s
[2026-06-12 18:09:11] model=glm4 layer=L39 head=13/31 pos=prompt_tail item=35/105 rows=5530 elapsed=1682s
[2026-06-12 18:09:26] model=glm4 layer=L39 head=13/31 pos=prompt_tail item=70/105 rows=5600 elapsed=1697s
[2026-06-12 18:09:41] model=glm4 layer=L39 head=13/31 pos=prompt_tail item=105/105 rows=5670 elapsed=1712s
[2026-06-12 18:09:57] model=glm4 layer=L39 head=13/31 pos=last4 item=35/105 rows=5740 elapsed=1727s
[2026-06-12 18:10:12] model=glm4 layer=L39 head=13/31 pos=last4 item=70/105 rows=5810 elapsed=1742s
[2026-06-12 18:10:27] model=glm4 layer=L39 head=13/31 pos=last4 item=105/105 rows=5880 elapsed=1758s
[2026-06-12 18:10:42] model=glm4 layer=L39 head=14/31 pos=prompt_tail item=35/105 rows=5950 elapsed=1773s
[2026-06-12 18:10:58] model=glm4 layer=L39 head=14/31 pos=prompt_tail item=70/105 rows=6020 elapsed=1788s
[2026-06-12 18:11:13] model=glm4 layer=L39 head=14/31 pos=prompt_tail item=105/105 rows=6090 elapsed=1803s
[2026-06-12 18:11:28] model=glm4 layer=L39 head=14/31 pos=last4 item=35/105 rows=6160 elapsed=1819s
[2026-06-12 18:11:43] model=glm4 layer=L39 head=14/31 pos=last4 item=70/105 rows=6230 elapsed=1834s
[2026-06-12 18:11:59] model=glm4 layer=L39 head=14/31 pos=last4 item=105/105 rows=6300 elapsed=1849s
[2026-06-12 18:12:14] model=glm4 layer=L39 head=15/31 pos=prompt_tail item=35/105 rows=6370 elapsed=1864s
[2026-06-12 18:12:29] model=glm4 layer=L39 head=15/31 pos=prompt_tail item=70/105 rows=6440 elapsed=1880s
[2026-06-12 18:12:44] model=glm4 layer=L39 head=15/31 pos=prompt_tail item=105/105 rows=6510 elapsed=1895s
[2026-06-12 18:12:59] model=glm4 layer=L39 head=15/31 pos=last4 item=35/105 rows=6580 elapsed=1910s
[2026-06-12 18:13:15] model=glm4 layer=L39 head=15/31 pos=last4 item=70/105 rows=6650 elapsed=1925s
[2026-06-12 18:13:30] model=glm4 layer=L39 head=15/31 pos=last4 item=105/105 rows=6720 elapsed=1941s
[2026-06-12 18:13:45] model=glm4 layer=L39 head=16/31 pos=prompt_tail item=35/105 rows=6790 elapsed=1956s
[2026-06-12 18:14:00] model=glm4 layer=L39 head=16/31 pos=prompt_tail item=70/105 rows=6860 elapsed=1971s
[2026-06-12 18:14:16] model=glm4 layer=L39 head=16/31 pos=prompt_tail item=105/105 rows=6930 elapsed=1986s
[2026-06-12 18:14:31] model=glm4 layer=L39 head=16/31 pos=last4 item=35/105 rows=7000 elapsed=2001s
[2026-06-12 18:14:46] model=glm4 layer=L39 head=16/31 pos=last4 item=70/105 rows=7070 elapsed=2017s
[2026-06-12 18:15:01] model=glm4 layer=L39 head=16/31 pos=last4 item=105/105 rows=7140 elapsed=2032s
[2026-06-12 18:15:16] model=glm4 layer=L39 head=17/31 pos=prompt_tail item=35/105 rows=7210 elapsed=2047s
[2026-06-12 18:15:32] model=glm4 layer=L39 head=17/31 pos=prompt_tail item=70/105 rows=7280 elapsed=2062s
[2026-06-12 18:15:47] model=glm4 layer=L39 head=17/31 pos=prompt_tail item=105/105 rows=7350 elapsed=2077s
[2026-06-12 18:16:02] model=glm4 layer=L39 head=17/31 pos=last4 item=35/105 rows=7420 elapsed=2093s
[2026-06-12 18:16:17] model=glm4 layer=L39 head=17/31 pos=last4 item=70/105 rows=7490 elapsed=2108s
[2026-06-12 18:16:33] model=glm4 layer=L39 head=17/31 pos=last4 item=105/105 rows=7560 elapsed=2123s
[2026-06-12 18:16:48] model=glm4 layer=L39 head=18/31 pos=prompt_tail item=35/105 rows=7630 elapsed=2138s
[2026-06-12 18:17:03] model=glm4 layer=L39 head=18/31 pos=prompt_tail item=70/105 rows=7700 elapsed=2154s
[2026-06-12 18:17:18] model=glm4 layer=L39 head=18/31 pos=prompt_tail item=105/105 rows=7770 elapsed=2169s
[2026-06-12 18:17:34] model=glm4 layer=L39 head=18/31 pos=last4 item=35/105 rows=7840 elapsed=2184s
[2026-06-12 18:17:49] model=glm4 layer=L39 head=18/31 pos=last4 item=70/105 rows=7910 elapsed=2199s
[2026-06-12 18:18:04] model=glm4 layer=L39 head=18/31 pos=last4 item=105/105 rows=7980 elapsed=2215s
[2026-06-12 18:18:19] model=glm4 layer=L39 head=19/31 pos=prompt_tail item=35/105 rows=8050 elapsed=2230s
[2026-06-12 18:18:34] model=glm4 layer=L39 head=19/31 pos=prompt_tail item=70/105 rows=8120 elapsed=2245s
[2026-06-12 18:18:50] model=glm4 layer=L39 head=19/31 pos=prompt_tail item=105/105 rows=8190 elapsed=2260s
[2026-06-12 18:19:05] model=glm4 layer=L39 head=19/31 pos=last4 item=35/105 rows=8260 elapsed=2275s
[2026-06-12 18:19:20] model=glm4 layer=L39 head=19/31 pos=last4 item=70/105 rows=8330 elapsed=2291s
[2026-06-12 18:19:35] model=glm4 layer=L39 head=19/31 pos=last4 item=105/105 rows=8400 elapsed=2306s
[2026-06-12 18:19:51] model=glm4 layer=L39 head=20/31 pos=prompt_tail item=35/105 rows=8470 elapsed=2321s
[2026-06-12 18:20:06] model=glm4 layer=L39 head=20/31 pos=prompt_tail item=70/105 rows=8540 elapsed=2336s
[2026-06-12 18:20:21] model=glm4 layer=L39 head=20/31 pos=prompt_tail item=105/105 rows=8610 elapsed=2352s
[2026-06-12 18:20:36] model=glm4 layer=L39 head=20/31 pos=last4 item=35/105 rows=8680 elapsed=2367s
[2026-06-12 18:20:51] model=glm4 layer=L39 head=20/31 pos=last4 item=70/105 rows=8750 elapsed=2382s
[2026-06-12 18:21:07] model=glm4 layer=L39 head=20/31 pos=last4 item=105/105 rows=8820 elapsed=2397s
[2026-06-12 18:21:22] model=glm4 layer=L39 head=21/31 pos=prompt_tail item=35/105 rows=8890 elapsed=2412s
[2026-06-12 18:21:37] model=glm4 layer=L39 head=21/31 pos=prompt_tail item=70/105 rows=8960 elapsed=2428s
[2026-06-12 18:21:52] model=glm4 layer=L39 head=21/31 pos=prompt_tail item=105/105 rows=9030 elapsed=2443s
[2026-06-12 18:22:07] model=glm4 layer=L39 head=21/31 pos=last4 item=35/105 rows=9100 elapsed=2458s
[2026-06-12 18:22:23] model=glm4 layer=L39 head=21/31 pos=last4 item=70/105 rows=9170 elapsed=2473s
[2026-06-12 18:22:38] model=glm4 layer=L39 head=21/31 pos=last4 item=105/105 rows=9240 elapsed=2488s
[2026-06-12 18:22:53] model=glm4 layer=L39 head=22/31 pos=prompt_tail item=35/105 rows=9310 elapsed=2504s
[2026-06-12 18:23:08] model=glm4 layer=L39 head=22/31 pos=prompt_tail item=70/105 rows=9380 elapsed=2519s
[2026-06-12 18:23:24] model=glm4 layer=L39 head=22/31 pos=prompt_tail item=105/105 rows=9450 elapsed=2534s
[2026-06-12 18:23:39] model=glm4 layer=L39 head=22/31 pos=last4 item=35/105 rows=9520 elapsed=2549s
[2026-06-12 18:23:54] model=glm4 layer=L39 head=22/31 pos=last4 item=70/105 rows=9590 elapsed=2565s
[2026-06-12 18:24:09] model=glm4 layer=L39 head=22/31 pos=last4 item=105/105 rows=9660 elapsed=2580s
[2026-06-12 18:24:25] model=glm4 layer=L39 head=23/31 pos=prompt_tail item=35/105 rows=9730 elapsed=2595s
[2026-06-12 18:24:40] model=glm4 layer=L39 head=23/31 pos=prompt_tail item=70/105 rows=9800 elapsed=2610s
[2026-06-12 18:24:55] model=glm4 layer=L39 head=23/31 pos=prompt_tail item=105/105 rows=9870 elapsed=2626s
[2026-06-12 18:25:10] model=glm4 layer=L39 head=23/31 pos=last4 item=35/105 rows=9940 elapsed=2641s
[2026-06-12 18:25:25] model=glm4 layer=L39 head=23/31 pos=last4 item=70/105 rows=10010 elapsed=2656s
[2026-06-12 18:25:41] model=glm4 layer=L39 head=23/31 pos=last4 item=105/105 rows=10080 elapsed=2671s
[2026-06-12 18:25:56] model=glm4 layer=L39 head=24/31 pos=prompt_tail item=35/105 rows=10150 elapsed=2686s
[2026-06-12 18:26:11] model=glm4 layer=L39 head=24/31 pos=prompt_tail item=70/105 rows=10220 elapsed=2702s
[2026-06-12 18:26:26] model=glm4 layer=L39 head=24/31 pos=prompt_tail item=105/105 rows=10290 elapsed=2717s
[2026-06-12 18:26:41] model=glm4 layer=L39 head=24/31 pos=last4 item=35/105 rows=10360 elapsed=2732s
[2026-06-12 18:26:57] model=glm4 layer=L39 head=24/31 pos=last4 item=70/105 rows=10430 elapsed=2747s
[2026-06-12 18:27:12] model=glm4 layer=L39 head=24/31 pos=last4 item=105/105 rows=10500 elapsed=2762s
[2026-06-12 18:27:27] model=glm4 layer=L39 head=25/31 pos=prompt_tail item=35/105 rows=10570 elapsed=2778s
[2026-06-12 18:27:42] model=glm4 layer=L39 head=25/31 pos=prompt_tail item=70/105 rows=10640 elapsed=2793s
[2026-06-12 18:27:58] model=glm4 layer=L39 head=25/31 pos=prompt_tail item=105/105 rows=10710 elapsed=2808s
[2026-06-12 18:28:13] model=glm4 layer=L39 head=25/31 pos=last4 item=35/105 rows=10780 elapsed=2823s
[2026-06-12 18:28:28] model=glm4 layer=L39 head=25/31 pos=last4 item=70/105 rows=10850 elapsed=2839s
[2026-06-12 18:28:43] model=glm4 layer=L39 head=25/31 pos=last4 item=105/105 rows=10920 elapsed=2854s
[2026-06-12 18:28:58] model=glm4 layer=L39 head=26/31 pos=prompt_tail item=35/105 rows=10990 elapsed=2869s
[2026-06-12 18:29:14] model=glm4 layer=L39 head=26/31 pos=prompt_tail item=70/105 rows=11060 elapsed=2884s
[2026-06-12 18:29:29] model=glm4 layer=L39 head=26/31 pos=prompt_tail item=105/105 rows=11130 elapsed=2900s
[2026-06-12 18:29:44] model=glm4 layer=L39 head=26/31 pos=last4 item=35/105 rows=11200 elapsed=2915s
[2026-06-12 18:29:59] model=glm4 layer=L39 head=26/31 pos=last4 item=70/105 rows=11270 elapsed=2930s
[2026-06-12 18:30:15] model=glm4 layer=L39 head=26/31 pos=last4 item=105/105 rows=11340 elapsed=2945s
[2026-06-12 18:30:30] model=glm4 layer=L39 head=27/31 pos=prompt_tail item=35/105 rows=11410 elapsed=2960s
[2026-06-12 18:30:45] model=glm4 layer=L39 head=27/31 pos=prompt_tail item=70/105 rows=11480 elapsed=2976s
[2026-06-12 18:31:00] model=glm4 layer=L39 head=27/31 pos=prompt_tail item=105/105 rows=11550 elapsed=2991s
[2026-06-12 18:31:16] model=glm4 layer=L39 head=27/31 pos=last4 item=35/105 rows=11620 elapsed=3006s
[2026-06-12 18:31:31] model=glm4 layer=L39 head=27/31 pos=last4 item=70/105 rows=11690 elapsed=3021s
[2026-06-12 18:31:46] model=glm4 layer=L39 head=27/31 pos=last4 item=105/105 rows=11760 elapsed=3036s
[2026-06-12 18:32:01] model=glm4 layer=L39 head=28/31 pos=prompt_tail item=35/105 rows=11830 elapsed=3052s
[2026-06-12 18:32:16] model=glm4 layer=L39 head=28/31 pos=prompt_tail item=70/105 rows=11900 elapsed=3067s
[2026-06-12 18:32:32] model=glm4 layer=L39 head=28/31 pos=prompt_tail item=105/105 rows=11970 elapsed=3082s
[2026-06-12 18:32:47] model=glm4 layer=L39 head=28/31 pos=last4 item=35/105 rows=12040 elapsed=3097s
[2026-06-12 18:33:02] model=glm4 layer=L39 head=28/31 pos=last4 item=70/105 rows=12110 elapsed=3113s
[2026-06-12 18:33:17] model=glm4 layer=L39 head=28/31 pos=last4 item=105/105 rows=12180 elapsed=3128s
[2026-06-12 18:33:33] model=glm4 layer=L39 head=29/31 pos=prompt_tail item=35/105 rows=12250 elapsed=3143s
[2026-06-12 18:33:48] model=glm4 layer=L39 head=29/31 pos=prompt_tail item=70/105 rows=12320 elapsed=3158s
[2026-06-12 18:34:03] model=glm4 layer=L39 head=29/31 pos=prompt_tail item=105/105 rows=12390 elapsed=3174s
[2026-06-12 18:34:18] model=glm4 layer=L39 head=29/31 pos=last4 item=35/105 rows=12460 elapsed=3189s
[2026-06-12 18:34:33] model=glm4 layer=L39 head=29/31 pos=last4 item=70/105 rows=12530 elapsed=3204s
[2026-06-12 18:34:49] model=glm4 layer=L39 head=29/31 pos=last4 item=105/105 rows=12600 elapsed=3219s
[2026-06-12 18:35:04] model=glm4 layer=L39 head=30/31 pos=prompt_tail item=35/105 rows=12670 elapsed=3234s
[2026-06-12 18:35:19] model=glm4 layer=L39 head=30/31 pos=prompt_tail item=70/105 rows=12740 elapsed=3250s
[2026-06-12 18:35:34] model=glm4 layer=L39 head=30/31 pos=prompt_tail item=105/105 rows=12810 elapsed=3265s
[2026-06-12 18:35:50] model=glm4 layer=L39 head=30/31 pos=last4 item=35/105 rows=12880 elapsed=3280s
[2026-06-12 18:36:05] model=glm4 layer=L39 head=30/31 pos=last4 item=70/105 rows=12950 elapsed=3295s
[2026-06-12 18:36:20] model=glm4 layer=L39 head=30/31 pos=last4 item=105/105 rows=13020 elapsed=3311s
[2026-06-12 18:36:35] model=glm4 layer=L39 head=31/31 pos=prompt_tail item=35/105 rows=13090 elapsed=3326s
[2026-06-12 18:36:50] model=glm4 layer=L39 head=31/31 pos=prompt_tail item=70/105 rows=13160 elapsed=3341s
[2026-06-12 18:37:06] model=glm4 layer=L39 head=31/31 pos=prompt_tail item=105/105 rows=13230 elapsed=3356s
[2026-06-12 18:37:21] model=glm4 layer=L39 head=31/31 pos=last4 item=35/105 rows=13300 elapsed=3371s
[2026-06-12 18:37:36] model=glm4 layer=L39 head=31/31 pos=last4 item=70/105 rows=13370 elapsed=3387s
[2026-06-12 18:37:51] model=glm4 layer=L39 head=31/31 pos=last4 item=105/105 rows=13440 elapsed=3402s
[2026-06-12 18:37:52] Wrote results/gpt5_phase98_head_readout_route_mapping_full_20260612_165924/glm4_phase98_head_readout_route_mapping.json
[2026-06-12 18:37:52] Hard exit after model requested.
