model,total_rows,off_manifold_rows,off_manifold_rate,off_manifold_high_progress_rows,off_manifold_high_progress_rate,off_manifold_negative_progress_rows,off_manifold_negative_progress_rate,off_manifold_over_conversion_rows,off_manifold_over_conversion_rate,on_manifold_high_progress_rows,on_manifold_high_progress_rate,on_manifold_negative_progress_rows,on_manifold_negative_progress_rate,on_manifold_over_conversion_rows,on_manifold_over_conversion_rate
qwen3,43920,84,0.001913,10,0.000228,1,0.000023,2,0.000046,7289,0.165961,2157,0.049112,1587,0.036134
glm4,43920,171,0.003893,75,0.001708,2,0.000046,0,0.000000,10843,0.246881,188,0.004281,776,0.017668
deepseek7b,39040,145,0.003714,19,0.000487,28,0.000717,11,0.000282,3600,0.092213,3012,0.077152,869,0.022259
