model,category,subtype,pair,layer,patch_type,alpha,progress,kl_ratio,logit_delta_ratio,patch_norm,a_ref_norm,b_ref_norm,norm_ratio_to_a,norm_ratio_to_b,norm_z,max_abs_norm_z,finite,off_manifold,high_progress,over_conversion,negative_progress,labels
qwen3,coreference,he_coref,coref_mark_he,4,mlp_out,0.500000,-0.220643,1.529289,0.306371,30.615505,32.321239,30.142683,0.947226,1.015686,0.858077,0.858077,1.000000,0.000000,0.000000,0.000000,1.000000,on_manifold_negative_progress
qwen3,coreference,he_coref,coref_mark_he,4,resid_in,0.750000,0.855792,0.138050,0.868782,107.892654,108.938797,108.092781,0.990397,0.998149,0.470628,0.470628,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,he_coref,coref_mark_he,4,resid_out,0.750000,0.990895,0.120865,1.005387,117.888618,119.846916,118.068024,0.983660,0.998480,0.525293,0.525293,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,he_coref,coref_mark_he,4,attn_out,0.750000,-0.266081,1.838012,0.371552,9.685942,10.654240,9.881301,0.909116,0.980229,0.017234,0.017234,1.000000,0.000000,0.000000,0.000000,1.000000,on_manifold_negative_progress
qwen3,coreference,he_coref,coref_mark_he,4,mlp_out,0.750000,-0.253459,1.465725,0.378869,30.211330,32.321239,30.142683,0.934721,1.002277,0.770101,0.770101,1.000000,0.000000,0.000000,0.000000,1.000000,on_manifold_negative_progress
qwen3,coreference,he_coref,coref_mark_he,4,resid_in,1.000000,1.000023,-0.000001,1.000000,108.092743,108.938797,108.092781,0.992234,1.000000,0.478081,0.478081,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,he_coref,coref_mark_he,4,resid_out,1.000000,1.000023,-0.000001,1.000000,118.067947,119.846916,118.068024,0.985156,0.999999,0.532249,0.532249,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,he_coref,coref_mark_he,4,attn_out,1.000000,-0.327806,1.798832,0.459874,9.881317,10.654240,9.881301,0.927454,1.000002,0.102237,0.102237,1.000000,0.000000,0.000000,0.000000,1.000000,on_manifold_negative_progress
qwen3,coreference,he_coref,coref_mark_he,4,mlp_out,1.000000,-0.275824,1.683866,0.434682,30.142714,32.321239,30.142683,0.932598,1.000001,0.755166,0.755166,1.000000,0.000000,0.000000,0.000000,1.000000,on_manifold_negative_progress
qwen3,coreference,he_coref,coref_mark_he,5,resid_in,0.750000,0.990895,0.120865,1.005387,117.888618,119.846916,118.068024,0.983660,0.998480,0.525293,0.525293,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,he_coref,coref_mark_he,5,resid_out,0.750000,0.983338,0.101505,0.996768,120.287689,122.667244,120.592812,0.980602,0.997470,0.578480,0.578480,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,he_coref,coref_mark_he,5,resid_in,1.000000,1.000023,-0.000001,1.000000,118.067947,119.846916,118.068024,0.985156,0.999999,0.532249,0.532249,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,he_coref,coref_mark_he,5,resid_out,1.000000,1.000023,-0.000001,1.000000,120.592766,122.667244,120.592812,0.983089,1.000000,0.590778,0.590778,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,he_coref,coref_mark_he,6,mlp_out,0.250000,-0.108022,1.229511,0.166264,10009.054688,10009.045898,10009.049805,1.000001,1.000000,1.619006,1.619006,1.000000,0.000000,0.000000,0.000000,1.000000,on_manifold_negative_progress
