subtype,and_or,by_phrase,casual,causal,center_embedding,complement_clause,concise,conditional,contrast,dative_passive,deep_complement,deictic_switch,double_relative,en_fr_phrase,en_fr_word,en_zh_phrase,en_zh_word,existential_no,formal,future_will,get_passive,he_coref,inference,it_coref,lexical_not_adj,long_passive,morphological_neg,negated_condition,nested_condition,nested_contrast,nested_passive,never,no_agent,past_simple,perfect,poetic,possessive_chain,pp_chain,progressive,relative_clause,scope_quantifier,she_coref,syntactic_do_not,target_language_switch,they_coref
perfect,0.828552,0.871922,0.838472,0.777340,0.831694,0.680975,0.826644,0.832147,0.819449,0.865659,0.896752,0.865581,0.871992,0.904489,0.876523,0.875348,0.870709,0.856212,0.900216,0.981900,0.870117,0.838147,0.857260,0.843414,0.846503,0.827830,0.843991,0.888426,0.789580,0.809869,0.828649,0.861018,0.795848,0.908748,1.000000,0.869661,0.784903,0.754600,0.914191,0.863493,0.852960,0.890137,0.877027,0.864752,0.883076
poetic,0.893819,0.866325,0.781373,0.850671,0.857873,0.722501,0.861492,0.866995,0.873700,0.876887,0.933504,0.953356,0.888695,0.913340,0.918290,0.920512,0.907117,0.841348,0.957159,0.839766,0.842788,0.926553,0.828069,0.807980,0.877217,0.867575,0.874813,0.943317,0.833970,0.837729,0.867404,0.890194,0.844367,0.896809,0.869661,1.000000,0.870108,0.810503,0.898127,0.892131,0.872955,0.923396,0.836628,0.924961,0.879200
possessive_chain,0.890963,0.919045,0.758467,0.834632,0.889335,0.852401,0.767801,0.883550,0.860974,0.934742,0.873728,0.838665,0.864489,0.819177,0.829043,0.808046,0.827630,0.834201,0.901843,0.759907,0.896502,0.810255,0.838776,0.741851,0.926967,0.862165,0.868490,0.896963,0.853561,0.862578,0.870801,0.923612,0.773447,0.802314,0.784903,0.870108,1.000000,0.953886,0.822174,0.946622,0.901196,0.845414,0.877194,0.804727,0.753090
pp_chain,0.829498,0.889414,0.734346,0.801219,0.907722,0.873271,0.706216,0.837136,0.831125,0.918217,0.839215,0.763366,0.847803,0.763706,0.772581,0.746605,0.765812,0.770705,0.848179,0.727559,0.865271,0.751993,0.788751,0.677986,0.885077,0.902018,0.803721,0.837902,0.905248,0.879896,0.887762,0.881282,0.736075,0.750906,0.754600,0.810503,0.953886,1.000000,0.789518,0.901568,0.852908,0.781480,0.828875,0.731431,0.683403
progressive,0.834317,0.898840,0.796242,0.798092,0.875411,0.705641,0.855256,0.816430,0.823454,0.881940,0.930620,0.867357,0.910494,0.911721,0.880685,0.864607,0.877679,0.841264,0.919430,0.901649,0.890337,0.835885,0.804484,0.881411,0.864793,0.852936,0.845953,0.926862,0.821243,0.865400,0.863457,0.860693,0.779425,0.858520,0.914191,0.898127,0.822174,0.789518,1.000000,0.877530,0.874863,0.902451,0.848419,0.875939,0.901063
relative_clause,0.959353,0.974115,0.758169,0.902561,0.838032,0.783462,0.829673,0.941389,0.927345,0.973231,0.893382,0.878795,0.876504,0.899573,0.882684,0.881958,0.885620,0.926474,0.913453,0.842938,0.957780,0.859060,0.924010,0.794228,0.958656,0.839505,0.955462,0.905837,0.803576,0.818876,0.846546,0.965166,0.854328,0.856027,0.863493,0.892131,0.946622,0.901568,0.877530,1.000000,0.951796,0.882304,0.939687,0.866350,0.864007
scope_quantifier,0.913144,0.943861,0.776683,0.851290,0.851248,0.819613,0.831253,0.902916,0.906912,0.937407,0.889565,0.872189,0.870624,0.894257,0.894507,0.880884,0.887448,0.903344,0.910650,0.847306,0.963308,0.864935,0.897685,0.825365,0.918352,0.835731,0.909754,0.917173,0.807924,0.841586,0.865504,0.957268,0.871452,0.850063,0.852960,0.872955,0.901196,0.852908,0.874863,0.951796,1.000000,0.888985,0.966400,0.879491,0.864344
she_coref,0.874274,0.879187,0.806482,0.829050,0.874282,0.703831,0.881689,0.890566,0.875703,0.854848,0.958398,0.949388,0.909233,0.938886,0.918395,0.917739,0.906154,0.871739,0.941825,0.870485,0.878133,0.912173,0.849344,0.854513,0.889945,0.858775,0.880472,0.935501,0.835950,0.830457,0.855067,0.869153,0.827944,0.911846,0.890137,0.923396,0.845414,0.781480,0.902451,0.882304,0.888985,1.000000,0.861764,0.959595,0.912335
syntactic_do_not,0.905064,0.930841,0.756467,0.832092,0.812790,0.789970,0.806408,0.913457,0.884305,0.933539,0.849800,0.849286,0.831315,0.874541,0.867732,0.864270,0.867959,0.899322,0.888052,0.870585,0.952078,0.829714,0.921792,0.815776,0.903566,0.791996,0.909865,0.887152,0.759907,0.806305,0.836477,0.946745,0.841894,0.858057,0.877027,0.836628,0.877194,0.828875,0.848419,0.939687,0.966400,0.861764,1.000000,0.844957,0.842884
target_language_switch,0.897769,0.857735,0.786798,0.841403,0.818299,0.661101,0.895276,0.886258,0.873197,0.841744,0.933049,0.960226,0.860867,0.927257,0.932404,0.934836,0.911013,0.873311,0.928355,0.857245,0.862360,0.945740,0.858572,0.837043,0.864320,0.820209,0.891091,0.918784,0.790891,0.800464,0.830042,0.865253,0.824913,0.906172,0.864752,0.924961,0.804727,0.731431,0.875939,0.866350,0.879491,0.959595,0.844957,1.000000,0.912563
they_coref,0.873888,0.876765,0.718625,0.829837,0.753328,0.570001,0.869020,0.841150,0.834372,0.824990,0.884626,0.889779,0.858837,0.946016,0.918372,0.919832,0.925444,0.878149,0.886339,0.864847,0.877392,0.891375,0.858366,0.830964,0.851558,0.763309,0.901913,0.892416,0.702716,0.731348,0.774401,0.836550,0.815566,0.865389,0.883076,0.879200,0.753090,0.683403,0.901063,0.864007,0.864344,0.912335,0.842884,0.912563,1.000000
