subtype,and_or,by_phrase,casual,causal,center_embedding,complement_clause,concise,conditional,contrast,dative_passive,deep_complement,deictic_switch,double_relative,en_fr_phrase,en_fr_word,en_zh_phrase,en_zh_word,existential_no,formal,future_will,get_passive,he_coref,inference,it_coref,lexical_not_adj,long_passive,morphological_neg,negated_condition,nested_condition,nested_contrast,nested_passive,never,no_agent,past_simple,perfect,poetic,possessive_chain,pp_chain,progressive,relative_clause,scope_quantifier,she_coref,syntactic_do_not,target_language_switch,they_coref
future_will,0.855520,0.929343,0.849147,0.896166,0.989118,0.929188,0.838510,0.899656,0.892958,0.932040,0.976844,0.955593,0.993332,0.980738,0.940226,0.987473,0.982839,0.922157,0.990644,1.000000,0.926334,0.966194,0.892660,0.822445,0.930135,0.992979,0.908935,0.988710,0.979687,0.985101,0.992721,0.922030,0.897246,0.955767,0.998955,0.984552,0.923044,0.925368,0.998791,0.928827,0.920515,0.933919,0.925288,0.926044,0.835336
get_passive,0.931134,0.991209,0.812611,0.956921,0.919579,0.987504,0.803454,0.968908,0.959908,0.992858,0.913068,0.899053,0.922104,0.916307,0.885212,0.922177,0.915460,0.987029,0.919478,0.926334,1.000000,0.912022,0.957185,0.790601,0.989646,0.925701,0.970918,0.922567,0.915176,0.918357,0.926472,0.987852,0.963202,0.900485,0.925430,0.919430,0.985717,0.983700,0.925500,0.989900,0.991011,0.884922,0.986165,0.878812,0.799085
he_coref,0.902618,0.907972,0.908544,0.923278,0.955102,0.904507,0.906458,0.924161,0.924664,0.910503,0.965588,0.979316,0.965871,0.984764,0.981458,0.978479,0.979126,0.923702,0.949652,0.966194,0.912022,1.000000,0.922813,0.890592,0.899721,0.978284,0.918771,0.958700,0.957860,0.954267,0.976077,0.901021,0.923081,0.989999,0.967477,0.976776,0.903898,0.897018,0.966279,0.899353,0.900472,0.973933,0.891633,0.972456,0.906928
inference,0.962695,0.954570,0.855366,0.995159,0.882222,0.954570,0.858034,0.991319,0.993988,0.959161,0.900298,0.898871,0.899595,0.914745,0.926661,0.912467,0.912127,0.975297,0.877483,0.892660,0.957185,0.922813,1.000000,0.842995,0.945384,0.907706,0.984923,0.875653,0.889470,0.879855,0.905373,0.944023,0.991870,0.922762,0.894086,0.900289,0.962026,0.954221,0.890581,0.943570,0.942253,0.908799,0.933929,0.920452,0.859717
it_coref,0.880442,0.780023,0.986083,0.846817,0.841321,0.784205,0.989944,0.838674,0.849402,0.791227,0.849621,0.883457,0.837056,0.863772,0.917177,0.854043,0.861478,0.802976,0.799344,0.822445,0.790601,0.890592,0.842995,1.000000,0.757174,0.852122,0.822226,0.805052,0.845478,0.828908,0.846776,0.757436,0.840410,0.902652,0.825670,0.840882,0.790716,0.777847,0.818818,0.757468,0.751590,0.955614,0.768007,0.948156,0.985779
lexical_not_adj,0.912448,0.992634,0.784153,0.948692,0.922060,0.988903,0.772221,0.957721,0.948098,0.992035,0.909272,0.892795,0.922434,0.913902,0.869600,0.920325,0.914724,0.984712,0.928023,0.930135,0.989646,0.899721,0.945384,0.757174,1.000000,0.923885,0.964261,0.926732,0.911121,0.919376,0.924238,0.987937,0.954850,0.886827,0.929275,0.922243,0.982670,0.983584,0.930359,0.991660,0.990114,0.868233,0.988606,0.857041,0.768513
long_passive,0.871654,0.929803,0.875235,0.911346,0.986836,0.926650,0.867924,0.915200,0.909669,0.931074,0.986147,0.963005,0.993117,0.988639,0.962715,0.992724,0.989823,0.926022,0.984698,0.992979,0.925701,0.978284,0.907706,0.852122,0.923885,1.000000,0.921062,0.981657,0.984252,0.981013,0.996290,0.913281,0.911169,0.974646,0.993188,0.987360,0.927661,0.924226,0.991175,0.925650,0.915245,0.953104,0.918451,0.948403,0.865755
morphological_neg,0.954943,0.974177,0.837972,0.988680,0.900085,0.969227,0.839604,0.992804,0.990127,0.976907,0.911765,0.901122,0.916185,0.925264,0.921495,0.922727,0.920799,0.986401,0.897046,0.908935,0.970918,0.918771,0.984923,0.822226,0.964261,0.921062,1.000000,0.893807,0.906119,0.896743,0.919987,0.962166,0.989890,0.920198,0.909844,0.915948,0.976593,0.969736,0.906589,0.965073,0.958095,0.903247,0.957292,0.907779,0.839959
negated_condition,0.842474,0.927065,0.834213,0.880457,0.981875,0.921463,0.820816,0.886064,0.876535,0.922718,0.960957,0.953735,0.978856,0.974866,0.920909,0.974558,0.971997,0.916494,0.989289,0.988710,0.922567,0.958700,0.875653,0.805052,0.926732,0.981657,0.893807,1.000000,0.969549,0.982220,0.985062,0.927582,0.883921,0.942119,0.986355,0.984244,0.911759,0.918400,0.988701,0.928206,0.926765,0.924239,0.927937,0.906412,0.816525
nested_condition,0.854828,0.914907,0.861064,0.891090,0.987608,0.920585,0.851932,0.898961,0.889794,0.917352,0.991213,0.938989,0.988400,0.970504,0.937985,0.986536,0.973783,0.910458,0.973050,0.979687,0.915176,0.957860,0.889470,0.845478,0.911121,0.984252,0.906119,0.969549,1.000000,0.985509,0.986275,0.904665,0.891232,0.949598,0.980320,0.975604,0.928415,0.926653,0.978818,0.918357,0.910736,0.934623,0.907849,0.933059,0.844154
