subtype,and_or,by_phrase,casual,causal,center_embedding,complement_clause,concise,conditional,contrast,dative_passive,deep_complement,deictic_switch,double_relative,en_fr_phrase,en_fr_word,en_zh_phrase,en_zh_word,existential_no,formal,future_will,get_passive,he_coref,inference,it_coref,lexical_not_adj,long_passive,morphological_neg,negated_condition,nested_condition,nested_contrast,nested_passive,never,no_agent,past_simple,perfect,poetic,possessive_chain,pp_chain,progressive,relative_clause,scope_quantifier,she_coref,syntactic_do_not,target_language_switch,they_coref
no_agent,0.965781,0.910535,0.865818,0.983294,0.774825,0.884837,0.480667,0.972573,0.989737,0.943695,0.722827,0.899502,0.834619,0.905314,0.895423,0.870757,0.901007,0.934299,0.857583,0.890850,0.865279,0.862549,0.977951,0.707203,0.927045,0.865828,0.970011,0.843221,0.767625,0.711925,0.821685,0.948377,1.000000,0.918254,0.887181,0.884738,0.875495,0.909591,0.884484,0.885945,0.943097,0.902147,0.852712,0.890275,0.848241
past_simple,0.919397,0.875497,0.940979,0.928220,0.871616,0.842008,0.526155,0.924604,0.925974,0.896481,0.793232,0.984221,0.883732,0.984766,0.974873,0.955394,0.979283,0.893322,0.931947,0.960187,0.824812,0.941821,0.919673,0.761229,0.881434,0.950122,0.924655,0.931726,0.854009,0.788780,0.916031,0.905199,0.918254,1.000000,0.958407,0.960353,0.827465,0.856229,0.959758,0.826327,0.900590,0.976104,0.820048,0.959179,0.916840
perfect,0.874125,0.907005,0.893507,0.889607,0.929128,0.877054,0.484460,0.887788,0.884618,0.908175,0.809660,0.953836,0.855244,0.963529,0.971543,0.965626,0.968958,0.894299,0.957722,0.997370,0.852853,0.907115,0.879662,0.741819,0.908432,0.968829,0.876639,0.957436,0.910424,0.832780,0.942646,0.917457,0.887181,0.958407,1.000000,0.960191,0.853551,0.891003,0.994765,0.842436,0.915979,0.936643,0.872653,0.926380,0.873371
poetic,0.885740,0.887020,0.916660,0.894440,0.917772,0.870975,0.547720,0.891647,0.885685,0.899448,0.880397,0.960416,0.886519,0.957930,0.958583,0.950470,0.959804,0.896872,0.956151,0.965498,0.866698,0.908472,0.891036,0.780094,0.894416,0.969903,0.882477,0.945690,0.916469,0.884037,0.935313,0.905067,0.884738,0.960353,0.960191,1.000000,0.883890,0.897707,0.966128,0.867795,0.903509,0.943075,0.859617,0.942658,0.908267
possessive_chain,0.879497,0.927780,0.807565,0.887851,0.850464,0.920603,0.475895,0.900083,0.871673,0.932930,0.866037,0.829430,0.782259,0.836062,0.847370,0.834593,0.845849,0.909260,0.863007,0.855535,0.957435,0.791575,0.886705,0.710673,0.939839,0.876069,0.870149,0.856562,0.859464,0.872884,0.859934,0.927599,0.875495,0.827465,0.853551,0.883890,1.000000,0.948053,0.858115,0.936246,0.929266,0.809636,0.917506,0.828463,0.805757
pp_chain,0.903908,0.966443,0.814514,0.913038,0.883609,0.962630,0.472320,0.923297,0.907107,0.971928,0.825979,0.868158,0.803278,0.867841,0.880368,0.876304,0.869442,0.956250,0.889763,0.894611,0.958075,0.814956,0.920348,0.699612,0.963135,0.904672,0.895045,0.895197,0.880358,0.858342,0.893983,0.958042,0.909591,0.856229,0.891003,0.897707,0.948053,1.000000,0.900008,0.937268,0.959392,0.841042,0.953536,0.836624,0.805136
progressive,0.876127,0.917513,0.890859,0.889931,0.938113,0.888080,0.484176,0.890681,0.883026,0.911154,0.814813,0.958968,0.856421,0.967673,0.976521,0.974855,0.972163,0.904958,0.961720,0.996058,0.861670,0.906270,0.880947,0.736516,0.913865,0.975571,0.876601,0.964031,0.921718,0.841424,0.953686,0.922714,0.884484,0.959758,0.994765,0.966128,0.858115,0.900008,1.000000,0.848640,0.920236,0.934881,0.884169,0.925498,0.871376
relative_clause,0.882138,0.910413,0.812317,0.881374,0.814344,0.928806,0.504294,0.909248,0.879767,0.935033,0.805540,0.815511,0.822514,0.833263,0.833947,0.805905,0.820787,0.909391,0.855086,0.849831,0.943396,0.796871,0.891871,0.725203,0.925745,0.861330,0.867648,0.838996,0.829523,0.851275,0.854665,0.926713,0.885945,0.826327,0.842436,0.867795,0.936246,0.937268,0.848640,1.000000,0.924808,0.819371,0.881439,0.831934,0.804786
scope_quantifier,0.941799,0.981352,0.831365,0.951683,0.888991,0.961580,0.442804,0.960161,0.944620,0.971875,0.771208,0.898015,0.785517,0.902401,0.913601,0.908061,0.903543,0.968752,0.888827,0.917233,0.936052,0.853357,0.944061,0.678998,0.982412,0.915871,0.941589,0.904632,0.871861,0.807578,0.900643,0.988842,0.943097,0.900590,0.915979,0.903509,0.929266,0.959392,0.920236,0.924808,1.000000,0.869682,0.950003,0.863858,0.807287
she_coref,0.917676,0.839979,0.976077,0.913842,0.833509,0.822334,0.652094,0.906272,0.915037,0.877344,0.805529,0.971185,0.932057,0.965730,0.941983,0.922031,0.965421,0.870450,0.935565,0.938266,0.807495,0.924492,0.911034,0.848904,0.848468,0.923173,0.921626,0.918080,0.817918,0.771163,0.881282,0.879045,0.902147,0.976104,0.936643,0.943075,0.809636,0.841042,0.934881,0.819371,0.869682,1.000000,0.777824,0.972201,0.962102
syntactic_do_not,0.854268,0.972511,0.738934,0.873231,0.923695,0.951335,0.377526,0.882710,0.855234,0.939394,0.761222,0.840916,0.694531,0.832094,0.858046,0.872193,0.836225,0.941267,0.850372,0.871676,0.934365,0.779342,0.870047,0.597978,0.953134,0.898774,0.849662,0.888459,0.884945,0.815876,0.897694,0.943364,0.852712,0.820048,0.872653,0.859617,0.917506,0.953536,0.884169,0.881439,0.950003,0.777824,1.000000,0.770227,0.717248
target_language_switch,0.893845,0.832676,0.961857,0.896606,0.825298,0.811940,0.620170,0.897805,0.896769,0.871990,0.833408,0.939411,0.924215,0.946695,0.924007,0.902988,0.960443,0.851534,0.945492,0.930670,0.816508,0.920286,0.896114,0.852775,0.845349,0.916550,0.897121,0.915638,0.829513,0.808351,0.876667,0.877985,0.890275,0.959179,0.926380,0.942658,0.828463,0.836624,0.925498,0.831934,0.863858,0.972201,0.770227,1.000000,0.962898
they_coref,0.881344,0.775316,0.983341,0.862720,0.770432,0.772928,0.750068,0.857397,0.867066,0.833482,0.850953,0.913160,0.956458,0.904417,0.865811,0.840752,0.916492,0.814046,0.904417,0.875695,0.783583,0.880546,0.869938,0.915441,0.789248,0.868744,0.879976,0.872043,0.778099,0.782401,0.825992,0.819496,0.848241,0.916840,0.873371,0.908267,0.805757,0.805136,0.871376,0.804786,0.807287,0.962102,0.717248,0.962898,1.000000
