subtype,and_or,by_phrase,casual,causal,center_embedding,complement_clause,concise,conditional,contrast,dative_passive,deep_complement,deictic_switch,double_relative,en_fr_phrase,en_fr_word,en_zh_phrase,en_zh_word,existential_no,formal,future_will,get_passive,he_coref,inference,it_coref,lexical_not_adj,long_passive,morphological_neg,negated_condition,nested_condition,nested_contrast,nested_passive,never,no_agent,past_simple,perfect,poetic,possessive_chain,pp_chain,progressive,relative_clause,scope_quantifier,she_coref,syntactic_do_not,target_language_switch,they_coref
existential_no,0.939771,0.961808,0.687121,0.942409,0.744932,0.955138,0.384467,0.950731,0.938787,0.963521,0.626791,0.748690,0.668431,0.741442,0.745496,0.751281,0.739822,1.000000,0.754690,0.761675,0.918088,0.737555,0.944836,0.621705,0.967534,0.760371,0.937213,0.763946,0.735110,0.659363,0.746060,0.975488,0.931171,0.742279,0.757857,0.749450,0.913479,0.959330,0.762686,0.905626,0.969536,0.725299,0.942509,0.718190,0.680939
formal,0.745622,0.753876,0.901151,0.745104,0.936314,0.747731,0.500287,0.747990,0.732382,0.768321,0.863678,0.952946,0.895661,0.960653,0.963978,0.952191,0.962145,0.754690,1.000000,0.969004,0.735479,0.946973,0.742242,0.837402,0.759637,0.972368,0.737402,0.975385,0.933719,0.874463,0.955876,0.765573,0.732385,0.950145,0.968628,0.970685,0.728965,0.761281,0.969522,0.714689,0.760192,0.940065,0.723201,0.944519,0.901143
future_will,0.749706,0.765452,0.881192,0.760315,0.935817,0.743267,0.445776,0.756206,0.753648,0.766306,0.787213,0.971072,0.860431,0.975116,0.983307,0.978038,0.972873,0.761675,0.969004,1.000000,0.709354,0.958640,0.749603,0.782935,0.768580,0.974763,0.746486,0.964974,0.929670,0.822372,0.945166,0.778689,0.756172,0.972194,0.998317,0.965823,0.707810,0.752363,0.996496,0.698275,0.778367,0.946386,0.728626,0.938333,0.872759
get_passive,0.858111,0.943523,0.661273,0.865325,0.724373,0.954068,0.366712,0.899451,0.858394,0.952915,0.712085,0.689477,0.658329,0.700287,0.704689,0.695782,0.697717,0.918088,0.735479,0.709354,1.000000,0.697015,0.880172,0.622659,0.943251,0.737509,0.848948,0.727771,0.732443,0.744876,0.745233,0.930643,0.857525,0.688497,0.705386,0.727499,0.957967,0.955122,0.714712,0.940294,0.932696,0.676042,0.927048,0.695788,0.665054
he_coref,0.764973,0.731520,0.934124,0.771526,0.885330,0.709963,0.506992,0.772023,0.770417,0.762942,0.803535,0.974389,0.887177,0.974952,0.959431,0.945401,0.975673,0.737555,0.946973,0.958640,0.697015,1.000000,0.770718,0.831225,0.738048,0.952413,0.767479,0.946274,0.881930,0.804992,0.917558,0.758166,0.758519,0.989301,0.961367,0.948881,0.690869,0.719582,0.951786,0.687971,0.762971,0.972192,0.680505,0.977900,0.924948
inference,0.973998,0.911285,0.742850,0.984112,0.684689,0.893743,0.428041,0.981817,0.988162,0.954310,0.629058,0.763825,0.712601,0.756665,0.747642,0.731214,0.760815,0.944836,0.742242,0.749603,0.880172,0.770718,1.000000,0.668739,0.928208,0.745553,0.976981,0.738010,0.678951,0.628239,0.710764,0.949428,0.977593,0.772612,0.751800,0.746384,0.890642,0.923577,0.741816,0.891352,0.945083,0.769645,0.869438,0.764964,0.736357
it_coref,0.688500,0.566862,0.942563,0.651042,0.697901,0.611212,0.789891,0.648432,0.662193,0.635056,0.830274,0.824408,0.946056,0.813514,0.770296,0.741234,0.816054,0.621705,0.837402,0.782935,0.622659,0.831225,0.668739,1.000000,0.592725,0.785994,0.679534,0.803985,0.729573,0.752068,0.742266,0.608730,0.644729,0.820014,0.782066,0.837100,0.637172,0.626216,0.771436,0.650305,0.614621,0.888634,0.523111,0.884248,0.953429
lexical_not_adj,0.918063,0.981467,0.669209,0.932923,0.744655,0.962125,0.326645,0.945333,0.924133,0.972349,0.632156,0.740339,0.656459,0.754981,0.765012,0.754989,0.752794,0.967534,0.759637,0.768580,0.943251,0.738048,0.928208,0.592725,1.000000,0.767662,0.916852,0.755856,0.746159,0.675241,0.755345,0.982712,0.925670,0.744023,0.767032,0.751184,0.939673,0.962667,0.770373,0.920688,0.982173,0.714988,0.949804,0.719387,0.664005
long_passive,0.731405,0.768991,0.878215,0.745364,0.966644,0.747712,0.467034,0.750306,0.731953,0.773300,0.842262,0.964515,0.850451,0.958041,0.965769,0.965241,0.961198,0.760371,0.972368,0.974763,0.737509,0.952413,0.745553,0.785994,0.767662,1.000000,0.728922,0.972611,0.950508,0.874571,0.965297,0.771862,0.727362,0.954702,0.975019,0.973096,0.728814,0.762929,0.977945,0.707267,0.769354,0.928781,0.752784,0.930813,0.874120
morphological_neg,0.993125,0.899693,0.755092,0.989310,0.669624,0.880356,0.449871,0.978800,0.982898,0.935286,0.612999,0.768407,0.713626,0.766303,0.751719,0.730867,0.767778,0.937213,0.737402,0.746486,0.848948,0.767479,0.976981,0.679534,0.916852,0.728922,1.000000,0.733481,0.655697,0.592777,0.693181,0.946617,0.969656,0.777242,0.751128,0.737303,0.871667,0.896685,0.738780,0.863111,0.939498,0.779843,0.845935,0.765919,0.747300
negated_condition,0.738921,0.765172,0.884456,0.736300,0.960189,0.752306,0.481819,0.746383,0.728378,0.765317,0.828304,0.959871,0.861523,0.952141,0.956306,0.958961,0.957324,0.763946,0.975385,0.964974,0.727771,0.946274,0.738010,0.803985,0.755856,0.972611,0.733481,1.000000,0.935329,0.852011,0.961475,0.762496,0.717434,0.947530,0.965648,0.952871,0.707620,0.757740,0.970177,0.682897,0.762824,0.931638,0.744713,0.927105,0.878684
nested_condition,0.669959,0.750641,0.789302,0.676660,0.957900,0.740886,0.410017,0.690043,0.662673,0.733772,0.837214,0.892988,0.779059,0.894346,0.911853,0.928927,0.899743,0.735110,0.933719,0.929670,0.732443,0.881930,0.678951,0.729573,0.746159,0.950508,0.655697,0.935329,1.000000,0.883961,0.947035,0.737969,0.657562,0.875133,0.926335,0.931323,0.719470,0.747833,0.942388,0.689401,0.737480,0.840133,0.749227,0.856864,0.793902
nested_contrast,0.612046,0.667009,0.764898,0.609086,0.866519,0.686461,0.430906,0.647704,0.592915,0.685244,0.917531,0.801970,0.776147,0.809665,0.817245,0.798892,0.798889,0.659363,0.874463,0.822372,0.744876,0.804992,0.628239,0.752068,0.675241,0.874571,0.592777,0.852011,0.883961,1.000000,0.870082,0.665681,0.596246,0.790272,0.817424,0.888240,0.730425,0.719289,0.831305,0.712583,0.663269,0.775585,0.668231,0.817105,0.787568
nested_passive,0.699985,0.769535,0.833841,0.709246,0.962923,0.752264,0.420934,0.731568,0.690433,0.759008,0.820590,0.924340,0.821941,0.933097,0.944243,0.943489,0.928078,0.746060,0.955876,0.945166,0.745233,0.917558,0.710764,0.742266,0.755345,0.965297,0.693181,0.961475,0.947035,0.870082,1.000000,0.759769,0.683569,0.915688,0.942444,0.933188,0.712350,0.754051,0.954644,0.701874,0.755375,0.884354,0.751927,0.891691,0.828178
never,0.949236,0.979987,0.686979,0.956410,0.745584,0.959552,0.334669,0.966382,0.948975,0.977663,0.629855,0.761321,0.668419,0.767621,0.775069,0.767732,0.763786,0.975488,0.765573,0.778689,0.930643,0.758166,0.949428,0.608730,0.982712,0.771862,0.946617,0.762496,0.737969,0.665681,0.759769,1.000000,0.947095,0.767015,0.777560,0.761067,0.928645,0.960234,0.778768,0.922417,0.991488,0.738712,0.943560,0.740598,0.682666
no_agent,0.966300,0.900650,0.717808,0.982750,0.656633,0.881713,0.381976,0.971399,0.989292,0.941880,0.598945,0.750093,0.702695,0.755436,0.749205,0.724277,0.755236,0.931171,0.732385,0.756172,0.857525,0.758519,0.977593,0.644729,0.925670,0.727362,0.969656,0.717434,0.657562,0.596246,0.683569,0.947095,1.000000,0.768876,0.757095,0.736231,0.875735,0.910455,0.742704,0.881052,0.939942,0.759469,0.847546,0.759254,0.714751
past_simple,0.773192,0.736769,0.930890,0.782301,0.888140,0.709284,0.497710,0.776329,0.779265,0.761931,0.786239,0.982480,0.884086,0.983305,0.975029,0.953444,0.982284,0.742279,0.950145,0.972194,0.688497,0.989301,0.772612,0.820014,0.744023,0.954702,0.777242,0.947530,0.875133,0.790272,0.915688,0.767015,0.768876,1.000000,0.975078,0.955648,0.691120,0.721199,0.963142,0.682494,0.768164,0.980135,0.685143,0.975806,0.921079
perfect,0.752993,0.764879,0.883604,0.763859,0.936235,0.736995,0.443140,0.757902,0.756015,0.766179,0.786446,0.974205,0.857231,0.978898,0.986265,0.979059,0.976622,0.757857,0.968628,0.998317,0.705386,0.961367,0.751800,0.782066,0.767032,0.975019,0.751128,0.965648,0.926335,0.817424,0.942444,0.777560,0.757095,0.975078,1.000000,0.964717,0.706833,0.750013,0.996341,0.690910,0.777355,0.949074,0.728426,0.940656,0.876283
poetic,0.742703,0.742666,0.900572,0.749998,0.928564,0.730916,0.518293,0.745413,0.739337,0.758174,0.876861,0.957494,0.882945,0.953634,0.954520,0.946595,0.954397,0.749450,0.970685,0.965823,0.727499,0.948881,0.746384,0.837100,0.751184,0.973096,0.737303,0.952871,0.931323,0.888240,0.933188,0.761067,0.736231,0.955648,0.964717,1.000000,0.741110,0.754894,0.963154,0.719851,0.761050,0.940540,0.719347,0.947170,0.907850
possessive_chain,0.881332,0.926087,0.668272,0.886505,0.704737,0.919334,0.371098,0.903527,0.873743,0.932841,0.726663,0.693992,0.659752,0.701702,0.707530,0.696009,0.705023,0.913479,0.728965,0.707810,0.957967,0.690869,0.890642,0.637172,0.939673,0.728814,0.871667,0.707620,0.719470,0.730425,0.712350,0.928645,0.875735,0.691120,0.706833,0.741110,1.000000,0.944541,0.709682,0.932968,0.928313,0.677986,0.912585,0.699480,0.679934
pp_chain,0.906341,0.963417,0.672922,0.912204,0.746673,0.961345,0.367397,0.926222,0.909420,0.970992,0.680174,0.734133,0.676445,0.734547,0.742068,0.742147,0.732057,0.959330,0.761281,0.752363,0.955122,0.719582,0.923577,0.626216,0.962667,0.762929,0.896685,0.757740,0.747833,0.719289,0.754051,0.960234,0.910455,0.721199,0.750013,0.754894,0.944541,1.000000,0.757558,0.932122,0.958683,0.709009,0.948482,0.708854,0.675951
progressive,0.741794,0.774189,0.869217,0.752187,0.949934,0.746868,0.435262,0.750597,0.742806,0.766530,0.790553,0.966502,0.846996,0.972416,0.982434,0.983363,0.971437,0.762686,0.969522,0.996496,0.714712,0.951786,0.741816,0.771436,0.770373,0.977945,0.738780,0.970177,0.942388,0.831305,0.954644,0.778768,0.742704,0.963142,0.996341,0.963154,0.709682,0.757558,1.000000,0.694802,0.779075,0.934627,0.741436,0.928307,0.862261
relative_clause,0.877653,0.904699,0.666467,0.873975,0.662751,0.921992,0.399585,0.908280,0.877044,0.934077,0.661143,0.669891,0.700569,0.691463,0.687547,0.659685,0.671644,0.905626,0.714689,0.698275,0.940294,0.687971,0.891352,0.650305,0.920688,0.707267,0.863111,0.682897,0.689401,0.712583,0.701874,0.922417,0.881052,0.682494,0.690910,0.719851,0.932968,0.932122,0.694802,1.000000,0.918471,0.680484,0.868547,0.698423,0.671926
scope_quantifier,0.939858,0.981282,0.693902,0.947771,0.743887,0.960223,0.346417,0.960815,0.943612,0.974757,0.629916,0.764122,0.670558,0.769111,0.773408,0.770603,0.768513,0.969536,0.760192,0.778367,0.932696,0.762971,0.945083,0.614621,0.982173,0.769354,0.939498,0.762824,0.737480,0.663269,0.755375,0.991488,0.939942,0.768164,0.777355,0.761050,0.928313,0.958683,0.779075,0.918471,1.000000,0.742448,0.947818,0.744131,0.688666
she_coref,0.775715,0.704535,0.971707,0.771915,0.848706,0.696060,0.616074,0.764257,0.774145,0.747112,0.804549,0.972449,0.935318,0.967494,0.944863,0.917980,0.964924,0.725299,0.940065,0.946386,0.676042,0.972192,0.769645,0.888634,0.714988,0.928781,0.779843,0.931638,0.840133,0.775585,0.884354,0.738712,0.759469,0.980135,0.949074,0.940540,0.677986,0.709009,0.934627,0.680484,0.742448,1.000000,0.649235,0.975836,0.962282
syntactic_do_not,0.850882,0.969329,0.594230,0.866789,0.782214,0.948535,0.275683,0.880957,0.851327,0.935653,0.614367,0.709827,0.569828,0.700775,0.721748,0.742337,0.702269,0.942509,0.723201,0.728626,0.927048,0.680505,0.869438,0.523111,0.949804,0.752784,0.845935,0.744713,0.749227,0.668231,0.751927,0.943560,0.847546,0.685143,0.728426,0.719347,0.912585,0.948482,0.741436,0.868547,0.947818,0.649235,1.000000,0.647256,0.591117
target_language_switch,0.763667,0.702963,0.961507,0.765268,0.847804,0.693093,0.556913,0.767749,0.766329,0.746437,0.831062,0.952682,0.919448,0.959140,0.941443,0.909988,0.961806,0.718190,0.944519,0.938333,0.695788,0.977900,0.764964,0.884248,0.719387,0.930813,0.765919,0.927105,0.856864,0.817105,0.891691,0.740598,0.759254,0.975806,0.940656,0.947170,0.699480,0.708854,0.928307,0.698423,0.744131,0.975836,0.647256,1.000000,0.957734
they_coref,0.747805,0.643382,0.989004,0.728302,0.783315,0.654542,0.722811,0.723846,0.735228,0.704374,0.854167,0.918589,0.957320,0.909044,0.870841,0.836122,0.913627,0.680939,0.901143,0.872759,0.665054,0.924948,0.736357,0.953429,0.664005,0.874120,0.747300,0.878684,0.793902,0.787568,0.828178,0.682666,0.714751,0.921079,0.876283,0.907850,0.679934,0.675951,0.862261,0.671926,0.688666,0.962282,0.591117,0.957734,1.000000
