subtype,and_or,by_phrase,casual,causal,center_embedding,complement_clause,concise,conditional,contrast,dative_passive,deep_complement,deictic_switch,double_relative,en_fr_phrase,en_fr_word,en_zh_phrase,en_zh_word,existential_no,formal,future_will,get_passive,he_coref,inference,it_coref,lexical_not_adj,long_passive,morphological_neg,negated_condition,nested_condition,nested_contrast,nested_passive,never,no_agent,past_simple,perfect,poetic,possessive_chain,pp_chain,progressive,relative_clause,scope_quantifier,she_coref,syntactic_do_not,target_language_switch,they_coref
poetic,0.720728,0.780665,0.824937,0.759339,0.985159,0.779821,0.829800,0.759223,0.755190,0.778937,0.973399,0.974227,0.982556,0.991673,0.944765,0.984086,0.978932,0.780107,0.986514,0.989644,0.775558,0.971531,0.751821,0.813947,0.783606,0.987691,0.769317,0.992715,0.978791,0.985217,0.989341,0.776610,0.759411,0.953274,0.989469,1.000000,0.771575,0.774728,0.991601,0.780606,0.779493,0.939621,0.776545,0.922838,0.827400
possessive_chain,0.927342,0.983472,0.670573,0.963595,0.777074,0.988006,0.678680,0.975372,0.965284,0.987775,0.783359,0.744347,0.780527,0.775373,0.760285,0.784870,0.772231,0.980820,0.770763,0.776944,0.985085,0.764265,0.963911,0.667557,0.982192,0.781485,0.978355,0.763922,0.783909,0.769909,0.781553,0.971930,0.966803,0.759131,0.777881,0.771575,1.000000,0.988858,0.775135,0.986586,0.977215,0.746485,0.974491,0.750509,0.677985
pp_chain,0.907982,0.985252,0.656893,0.954677,0.784046,0.990177,0.659986,0.961203,0.951767,0.987927,0.772043,0.747443,0.783154,0.773803,0.740440,0.777617,0.769232,0.979180,0.776626,0.781751,0.983617,0.755377,0.953535,0.649558,0.984229,0.778405,0.969017,0.774661,0.780537,0.779773,0.781469,0.979979,0.957156,0.743373,0.780751,0.774728,0.988858,1.000000,0.780089,0.990062,0.977498,0.733844,0.983151,0.729311,0.656123
progressive,0.723640,0.781604,0.827167,0.764295,0.989903,0.785408,0.834453,0.762031,0.760781,0.785041,0.979084,0.967083,0.994375,0.990241,0.950701,0.988280,0.982519,0.781429,0.986642,0.998632,0.777442,0.971755,0.758586,0.817845,0.782987,0.991941,0.774460,0.987374,0.983309,0.988969,0.992732,0.775380,0.763303,0.955708,0.998622,0.991601,0.775135,0.780089,1.000000,0.781249,0.773680,0.936503,0.775622,0.930562,0.833257
relative_clause,0.910274,0.992914,0.641360,0.947172,0.777632,0.987622,0.645931,0.960728,0.950257,0.991778,0.767811,0.752513,0.779879,0.779374,0.740478,0.775816,0.771032,0.984970,0.780226,0.782433,0.989313,0.760382,0.946785,0.632701,0.991264,0.779147,0.968164,0.782054,0.774992,0.775308,0.783423,0.988193,0.956806,0.747616,0.780672,0.780606,0.986586,0.990062,0.781249,1.000000,0.987237,0.731418,0.989494,0.724634,0.645002
scope_quantifier,0.906685,0.984577,0.634745,0.939274,0.768298,0.980282,0.638911,0.953953,0.942637,0.981660,0.760134,0.755538,0.767651,0.773125,0.731976,0.769303,0.759604,0.980018,0.773205,0.772806,0.989401,0.760486,0.939646,0.625856,0.988982,0.768886,0.955474,0.779912,0.766692,0.771890,0.773675,0.992280,0.950238,0.739686,0.771975,0.779493,0.977215,0.977498,0.773680,0.987237,1.000000,0.727684,0.982538,0.719085,0.636768
she_coref,0.767637,0.741771,0.957092,0.766769,0.939721,0.743424,0.962274,0.764039,0.767428,0.747926,0.942193,0.960533,0.937105,0.953709,0.972872,0.948607,0.955497,0.754939,0.922838,0.937663,0.746989,0.971224,0.761321,0.952955,0.735622,0.953729,0.755357,0.928382,0.936532,0.929902,0.948290,0.725172,0.763584,0.974341,0.939463,0.939621,0.746485,0.733844,0.936503,0.731418,0.727684,1.000000,0.736621,0.983021,0.960795
syntactic_do_not,0.907581,0.992547,0.657902,0.938482,0.775764,0.983840,0.659685,0.948807,0.938763,0.988650,0.755476,0.756289,0.772576,0.775571,0.734515,0.764572,0.766675,0.981168,0.776581,0.776901,0.984218,0.754985,0.933654,0.648954,0.986741,0.772369,0.957258,0.781596,0.766380,0.773984,0.775884,0.989919,0.947915,0.740309,0.774799,0.776545,0.974491,0.983151,0.775622,0.989494,0.982538,0.736621,1.000000,0.719325,0.656449
target_language_switch,0.763229,0.731139,0.944140,0.769855,0.930732,0.736099,0.955454,0.769372,0.773060,0.743190,0.950101,0.935967,0.938880,0.944140,0.980033,0.954453,0.951942,0.748386,0.913945,0.932623,0.743620,0.968908,0.772726,0.942453,0.727320,0.950839,0.759208,0.909069,0.935753,0.918137,0.944605,0.711057,0.767676,0.976049,0.935114,0.922838,0.750509,0.729311,0.930562,0.724634,0.719085,0.983021,0.719325,1.000000,0.958683
they_coref,0.746878,0.661234,0.988939,0.720596,0.849158,0.667197,0.994838,0.714976,0.722630,0.675627,0.852211,0.874900,0.846103,0.856495,0.927002,0.857925,0.872941,0.680771,0.816063,0.838515,0.673388,0.899785,0.715954,0.987494,0.649958,0.863343,0.695407,0.816216,0.842705,0.825262,0.854985,0.634953,0.715169,0.919022,0.841563,0.827400,0.677985,0.656123,0.833257,0.645002,0.636768,0.960795,0.656449,0.958683,1.000000
